,Department,CourseNumber,CourseName,StudentCount,AvgGPA
364,CLCV,115,Mythology of Greece and Rome,442,3.36
365,CLCV,116,The Roman Achievement,185,3.57
366,CLCV,132,"Class Archaeology, Rome-Italy",28,3.37
367,CLCV,160,Ancient Greek & Roman Religion,24,3.18
368,CLCV,220,Wonders of the world,49,3.4
369,CMN,102,Intro to Comm Theory & Res,217,2.58
370,CMN,211,Business Communication,68,3.52
371,CMN,212,Intro to Organizational Comm,87,3.35
372,CMN,213,Small Group Communication,58,3.73
373,CMN,215,Interviewing,24,3.42
374,CMN,220,Communicating Public Policy,46,3.45
375,CMN,230,Intro to Interpersonal Comm,177,3.01
376,CMN,231,Communication and Conflict,32,3.48
377,CMN,232,Intro to Intercultural Comm,111,3.45
378,CMN,250,Social Movement Communication,33,3.0
379,CMN,260,Intro to Health Communication,116,3.0
380,CMN,277,Intro to Mediated Comm,71,2.36
381,CMN,280,Comm Technology & Society,30,2.97
382,CMN,312,Communicating for Innovation,33,3.32
383,CMN,321,Strategies of Persuasion,52,2.67
384,CMN,336,Family Communication,61,3.8
385,CMN,338,Relationships and Technologies,34,3.1
386,CMN,340,Visual Politics,56,3.47
387,CMN,368,Sexual Communication,148,3.34
388,CMN,375,The American Family,104,3.14
389,CMN,396,Intercultural Rhetoric,207,2.98
390,CMN,410,Workplace Comm Technology,30,3.22
391,CMN,412,Adv Organizational Comm,22,3.15
392,CMN,421,Persuasion Theory & Research,30,2.87
393,CMN,435,Adv Interpersonal Comm,28,3.44
394,CMN,462,Interpersonal Health Comm,29,3.22
395,CMN,463,Organizational Health Comm,48,3.29
396,CMN,464,Health Communication Campaigns,32,3.43
397,CPSC,112,Introduction to Crop Sciences,59,3.04
398,CPSC,116,The Global Food Production Web,187,3.81
399,CPSC,117,Agric. & Science of Coffee,74,3.82
400,CPSC,131,Agriculture in Mythology,505,3.71
401,CPSC,261,Biotechnology in Agriculture,26,3.19
402,CPSC,265,Genetic Engineering Lab,21,3.95
403,CPSC,418,Crop Growth and Management,37,3.26
404,CPSC,440,Applied Statistical Methods I,64,3.52
405,CPSC,453,Principles of Plant Breeding,25,3.79
406,CPSC,542,Applied Statistical Methods II,32,3.8
407,CS,101,Intro Computing: Engrg & Sci,694,3.63
408,CS,105,Intro Computing: Non-Tech,584,3.64
409,CS,125,Intro to Computer Science,436,3.44
410,CS,126,Software Design Studio,313,3.48
411,CS,173,Discrete Structures,593,3.01
412,CS,196,Freshman Honors,60,3.61
413,CS,199,Python for Data,28,3.75
414,CS,210,Ethical & Professional Issues,130,3.65
415,CS,225,Data Structures,458,3.18
416,CS,233,Computer Architecture,263,3.2
417,CS,241,System Programming,266,2.92
418,CS,242,Programming Studio,168,3.48
419,CS,296,Honors Course,102,3.85
420,CS,357,Numerical Methods I,349,3.25
421,CS,361,Prob & Stat for Computer Sci,142,3.25
422,CS,374,Intro to Algs & Models of Comp,457,2.56
423,CS,398,Introduction to Data Science,71,3.77
424,CS,410,Text Information Systems,198,3.88
425,CS,411,Database Systems,334,3.59
426,CS,412,Introduction to Data Mining,330,3.38
427,CS,418,Interactive Computer Graphics,68,3.0
428,CS,421,Progrmg Languages & Compilers,310,3.56
429,CS,423,Operating Systems Design,42,2.94
430,CS,425,Distributed Systems,168,3.18
431,CS,429,"Software Engineering II, ACP",22,3.76
432,CS,431,Embedded Systems,36,3.54
433,CS,433,Computer System Organization,24,3.33
434,CS,438,Communication Networks,63,2.79
435,CS,440,Artificial Intelligence,315,3.42
436,CS,446,Machine Learning,201,3.46
437,CS,450,Numerical Analysis,131,3.26
438,CS,460,Security Laboratory,95,3.78
439,CS,461,Computer Security I,105,2.86
440,CS,463,Computer Security II,22,3.73
441,CS,465,User Interface Design,83,3.46
442,CS,466,Introduction to Bioinformatics,63,3.86
443,CS,467,Social Visualization,50,3.9
444,CS,477,Formal Software Devel Methods,23,3.48
445,CS,484,Parallel Programming,44,3.24
446,CS,498,Virtual Reality,1169,3.66
447,CS,512,Data Mining Principles,68,3.69
448,CS,527,Topics in Software Engineering,23,3.83
449,CS,533,Parallel Computer Architecture,23,3.59
450,CS,538,Advanced Computer Networks,38,3.75
451,CS,555,Numerical Methods for PDEs,25,3.87
452,CS,579,Computational Complexity,26,3.65
453,CS,598,Stat Reinforcement lrng,23,3.88
454,CW,100,Intro to Creative Writing,46,3.64
455,CW,200,Reading for Writers,22,3.08
456,CW,243,Inter Expository Writing,22,3.17
457,CWL,207,Indian Cinema in Context,191,3.92
458,DANC,100,Intro to Contemporary Dance,273,3.71
459,DANC,101,Modern Dance I,22,3.71
460,DANC,107,Ballet I,21,3.65
461,DANC,212,Musical Theater Dance,26,3.62
462,DANC,260,Int Contemp Modern Tech Core,25,3.48
463,DANC,268,Music Theory for Dancers,29,3.11
464,DANC,340,Dancing Black Popular Culture,52,3.57
465,ECE,110,Introduction to Electronics,376,3.25
466,ECE,120,Introduction to Computing,246,3.13
