,Department,CourseNumber,CourseName,StudentCount,AvgGPA
1193,REHB,330,Disability in American Society,106,3.39
1194,REHB,402,Medical Aspects of Disability,35,3.38
1195,REL,101,Bible as Literature,29,3.15
1196,REL,104,Asian Mythology,162,3.32
1197,REL,108,Religion & Society in West I,82,3.9
1198,REL,110,World Religions,388,3.67
1199,REL,231,Religion and Philosophy,28,3.13
1200,REL,236,"Religion, Violence & America",21,2.91
1201,RHET,233,Adv Rhetoric & Composition,68,3.6
1202,RST,100,RST in Modern Society,209,3.28
1203,RST,101,Orientation to RST,79,3.63
1204,RST,130,Foundations of Sport Mgt,59,2.77
1205,RST,150,Foundations of Tourism,42,3.21
1206,RST,199,Technology in Modern Society,251,3.26
1207,RST,200,Leadership in RST,94,3.32
1208,RST,210,Management in RST,108,3.19
1209,RST,230,Diversity in RST,138,3.52
1210,RST,242,Nature and American Culture,1331,3.71
1211,RST,255,Ethical Issues in RST,79,3.13
1212,RST,260,Disability in RST,270,3.17
1213,RST,316,Leisure and Human Development,47,3.23
1214,RST,325,Marketing in RST,64,2.84
1215,RST,335,Leisure and Consumer Culture,47,3.26
1216,RST,340,Facility Management in RST,57,3.75
1217,RST,354,Legal Aspects of Sport,58,3.0
1218,RST,370,Research Methods & Analysis,64,3.14
1219,RST,410,Strategic Thinking in RST,62,2.75
1220,RST,429,Contemporary Issues in RST,43,3.26
1221,RST,430,Sport & Development,67,3.46
1222,RST,460,Event Management in RST,57,3.64
1223,RST,465,Event Implementation in RST,28,3.33
1224,RST,480,Orientation to Practicum,45,3.59
1225,SBC,500,SBC Essentials,42,3.93
1226,SBC,501,Strat Branding: Global Persp,42,3.61
1227,SBC,502,Essentials of Business Mgmt,43,3.81
1228,SBC,511,Strat. Analytics & Data Visual,39,3.78
1229,SBC,512,Professional SBC Capstone Proj,36,3.87
1230,SCAN,251,Viking Mythology,144,3.4
1231,SCAN,252,Viking Sagas in Translation,26,3.59
1232,SE,100,Introduction to ISE,148,3.8
1233,SE,261,Business Side of Engineering,86,3.49
1234,SE,310,Dsgn of Structures & Mechanism,80,3.05
1235,SE,320,Control Systems,70,3.37
1236,SE,361,Emotional Intelligence Skills,26,3.42
1237,SE,400,Engineering Law,53,3.57
1238,SE,402,Comp-Aided Product Realization,22,3.57
1239,SE,410,Component Design,31,3.05
1240,SE,420,Digital Control Systems,23,3.51
1241,SE,450,Decision Analysis I,33,3.26
1242,SE,494,Senior Engineering Project I,60,3.81
1243,SE,495,Senior Engineering Project II,60,3.86
1244,SHS,120,"Child, Comm, & Lang Ability",527,3.57
1245,SHS,121,American Sign Language I,21,3.81
1246,SHS,170,Intro Hum Comm Sys & Disorders,145,3.62
1247,SHS,221,American Sign Language II,23,3.25
1248,SHS,222,Lang&Culture Deaf Communities,127,3.75
1249,SHS,280,Communication Neuroscience,76,3.08
1250,SHS,300,Anat & Physiol Spch Mechanism,62,3.34
1251,SHS,320,Development of Spoken Language,117,3.4
1252,SHS,333,Child Neurodev Disorders,41,3.51
1253,SHS,375,Comm Partners & Health,47,3.82
1254,SHS,450,Intro Audiol & Hear Disorders,60,3.62
1255,SHS,451,Aural Rehab Children to Adults,79,3.78
1256,SHS,470,Neural Bases Spch Lang,34,3.83
1257,SHS,511,Asst & Mgmt of Voice Disorders,28,3.77
1258,SHS,532,Lang Disorders Schl-Age Child,22,3.95
1259,SHS,534,Aphasia and Related Disorders,22,3.77
1260,SHS,572,Counseling in Comm Disorders,26,3.73
1261,SLAV,117,Russ & E Euro Science Fiction,26,3.71
1262,SOC,100,Introduction to Sociology,523,3.31
1263,SOC,101,Sociology of Gender,58,3.19
1264,SOC,160,Global Ineq and Social Change,61,3.04
1265,SOC,162,Intro to Intl Health Policy,23,2.68
1266,SOC,163,Social Problems,55,3.22
1267,SOC,200,Intro to Sociological Theory,77,3.39
1268,SOC,225,Race and Ethnicity,37,3.58
1269,SOC,270,Global Demography,47,2.63
1270,SOC,275,Criminology,138,3.39
1271,SOC,280,Intro to Social Statistics,24,2.76
1272,SOC,310,Sociology of Deviance,65,3.57
1273,SOC,378,Sociology of Law,47,3.11
1274,SOC,380,Social Research Methods,54,3.31
1275,SOCW,101,SOCW Orientation Seminar,55,3.49
1276,SOCW,200,Introduction to Social Work,130,3.2
1277,SOCW,225,Intro Stat for Social Work,26,3.41
1278,SOCW,240,Death & Dying,59,3.12
1279,SOCW,297,Asian Families in America,39,3.97
1280,SOCW,300,Diversity: Identities & Issues,117,3.53
1281,SOCW,360,Social Work and the Military,29,3.66
1282,SOCW,400,Generalist SW Practice Methods,73,3.85
1283,SOCW,401,Practice I,48,3.73
1284,SOCW,402,Practice II,23,3.55
1285,SOCW,403,Practice III,71,3.76
1286,SOCW,410,Social Welfare Pol and Svcs,48,3.77
1287,SOCW,416,Child Welfare Issues & Trends,24,3.56
1288,SOCW,420,Subst Use in Social Context,28,3.77
1289,SOCW,427,Social Work Research Methods,108,3.69
1290,SOCW,451,HBSE I: Human Development,56,3.52
1291,SOCW,455,Social Work with Women,31,3.94
1292,SOCW,461,Prof Practice Seminar I,67,3.85
1293,SOCW,505,Behav and Cogn Methods for SW,23,3.91
1294,SOCW,509,Adv Clin Assess & Interviewing,25,3.97
1295,SOCW,541,Clinical Research Seminar,27,3.9
1296,SOCW,542,Program Evaluation,45,3.5
1297,SOCW,552,HBSE II: Mental Disorders,29,3.81
1298,SOCW,554,Inequalities In A Diverse Scty,28,3.85
1299,SOCW,561,Applied Int Care Seminar,34,3.89
1300,SOCW,589,Social Work and the Law,99,3.76
1301,SPAN,246,Gender&Sexuality Latina/o Lit,28,3.36
1302,SPAN,307,Bilingualism,21,3.7
1303,SPAN,308,Spanish in the United States,46,3.51
1304,SPED,117,The Culture of Disability,673,3.71
1305,SPED,405,Gen Educator's Role in SPED,172,3.8
1306,SPED,444,Career Dev & Transition,30,3.9
1307,SPED,446,Curriculum Development I,29,3.93
1308,SPED,450,Introduction to ECSE,23,3.77
1309,SPED,461,AAC and Literacy,30,3.88
1310,SPED,470,Learning Environments I,29,3.97
1311,SPED,471,Learning Environments II,32,3.88
1312,SPED,517,Disability Issues in SPED,30,3.74
1313,STAT,100,Statistics,1320,3.2
1314,STAT,107,Data Science Discovery,170,3.52
1315,STAT,200,Statistical Analysis,524,3.45
1316,STAT,212,Biostatistics,352,3.64
1317,STAT,385,Statistics Programming Methods,153,3.71
1318,STAT,400,Statistics and Probability I,553,3.13
1319,STAT,409,Actuarial Statistics II,94,3.25
1320,STAT,410,Statistics and Probability II,247,3.16
1321,STAT,420,Methods of Applied Statistics,324,3.47
1322,STAT,425,Applied Regression and Design,188,3.53
1323,STAT,428,Statistical Computing,121,3.31
1324,STAT,429,Time Series Analysis,48,3.09
1325,STAT,430,DataScience ProgrammingMethods,76,3.45
1326,STAT,432,Basics of Statistical Learning,168,3.73
1327,STAT,433,Stochastic Processes,49,3.71
1328,STAT,434,Survival Analysis,43,3.49
1329,STAT,440,Statistical Data Management,166,3.82
1330,STAT,443,Professional Statistics,37,3.47
1331,STAT,448,Advanced Data Analysis,78,3.81
1332,STAT,480,Data Science Foundations,76,3.91
1333,STAT,510,Mathematical Statistics I,53,3.46
1334,STAT,527,Advanced Regression Analysis,30,3.78
1335,STAT,542,Statistical Learning,71,3.93
1336,STAT,571,Multivariate Analysis,53,3.6
1337,TAM,195,Mechanics in the Modern World,49,3.18
1338,TAM,201,Mechanics for Technol & Mgmt,28,3.8
1339,TAM,210,Introduction to Statics,277,3.29
1340,TAM,211,Statics,305,3.07
1341,TAM,212,Introductory Dynamics,194,3.04
1342,TAM,251,Introductory Solid Mechanics,147,2.81
1343,TAM,335,Introductory Fluid Mechanics,204,2.79
1344,TAM,461,Cellular Biomechanics,21,3.59
1345,TAM,470,Computational Mechanics,40,3.58
1346,TAM,541,Mathematical Methods I,70,3.74
1347,TE,100,Intro to ILEE,27,3.89
1348,TE,250,From Idea to Enterprise,32,3.66
1349,TE,333,"Creativity, Innovation, Vision",33,3.34
1350,TE,360,Lect in Engrg Entrepreneurship,71,3.73
1351,TE,466,High-Tech Venture Marketing,31,3.45
1352,TE,565,Technol Innovation & Strategy,21,3.9
1353,THEA,100,Practicum I,70,3.82
1354,THEA,101,Introduction to Theatre Arts,1030,3.5
1355,THEA,110,Broadway Musicals,79,3.73
1356,THEA,170,Fundamentals of Acting I,24,3.49
1357,THEA,208,21st C Dramaturgy,47,3.93
1358,THEA,270,Relationships in Acting I,27,3.72
1359,THEA,271,Voice and Movement I,27,3.59
1360,THEA,360,History of Theatre I,40,2.89
1361,THEA,595,Creative Project,43,3.78
1362,TSM,100,Technical Systems in Agr,58,3.0
1363,TSM,232,Materials and Construction Sys,40,3.27
1364,TSM,233,Metallurgy & Welding Process,46,3.09
1365,TSM,311,Humanity in the Food Web,97,3.33
1366,TSM,352,Land and Water Mgt Systems,33,2.78
1367,TSM,372,Environ Control & HVAC Systems,38,2.79
1368,TSM,422,Ag Health-Illnesses Prevention,28,3.16
1369,TSM,435,Elec Computer Ctrl Sys,46,3.8
1370,TSM,438,Renewable Energy Applications,32,3.05
1371,UP,101,Introduction to City Planning,191,3.05
1372,UP,203,Cities: Planning & Urban Life,26,3.36
1373,UP,312,Communication for Planners,32,2.94
1374,UP,330,The Modern American City,35,3.26
1375,UP,340,Planning for Healthy Cities,28,3.82
1376,UP,418,GIS for Planners,39,3.32
1377,UP,430,Urban Transportation Planning,26,3.85
1378,UP,473,Housing & Urban Policy,25,3.12
1379,UP,501,Planning History and Theory,54,3.77
1380,UP,503,Physical Planning,30,3.61
1381,UP,504,Urban History and Theory,34,3.49
1382,VM,602,Structure and Function I,130,2.81
1383,VM,605,Pathobiology I,127,2.65
1384,VM,607,Pathobiology II,127,2.86
1385,VM,609,Medicine and Surgery I,135,2.73
1386,VM,610,Medicine and Surgery II,135,2.53
1387,YDSH,220,Jewish Storytelling,22,3.85
